Tmc,year,road,direction,Miles,f_system,hour_of_day,total_epochs_hr,harmavg_spd,harmavg_ffspd,avg_tt_sec
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,0,1000,58.6059802,63.09000015,46.18812001
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,1,999,58.91036648,63.09000015,45.94956958
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,2,1002,59.0809228,63.09000015,45.8170459
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,3,1024,59.42842266,63.09000015,45.54878907
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,4,1035,60.02086254,63.09000015,45.09910137
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,5,1038,61.15727136,63.09000015,44.26136796
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,6,1038,60.68593033,63.09000015,44.60506739
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,7,1040,60.06568664,63.09000015,45.06574999
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,8,1040,58.60585905,63.09000015,46.18824998
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,9,1040,55.9385145,63.09000015,48.3904326
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,10,1039,53.7186883,63.09000015,50.38986513
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,11,1040,54.53459117,63.09000015,49.63629801
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,12,1040,57.54419154,63.09000015,47.04004799
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,13,1040,55.4679127,63.09000015,48.80202874
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,14,1039,54.34367587,63.09000015,49.81157839
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,15,1040,48.4836982,63.09000015,55.83033644
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,16,1040,42.13461353,63.09000015,64.24506725
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,17,1040,42.13981233,63.09000015,64.23756726
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,18,1039,50.84893896,63.09000015,53.23465822
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,19,1038,55.76200647,63.09000015,48.5439691
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,20,1036,59.11078478,63.09000015,45.79350383
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,21,1035,58.00441284,63.09000015,46.6678647
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,22,1034,58.47079754,63.09000015,46.29462285
105-05708,2017,CA-99,SOUTHBOUND,0.751915,2,23,1017,57.62328284,63.09000015,46.97634217
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,0,1010,54.04839348,63.72300072,51.31086131
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,1,1024,54.66501779,63.72300072,50.73237303
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,2,1028,55.65579523,63.72300072,49.82932872
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,3,1039,56.4173133,63.72300072,49.15666983
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,4,1037,56.52641491,63.72300072,49.06182253
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,5,1040,57.86167048,63.72300072,47.93107697
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,6,1043,57.83481646,63.72300072,47.95113131
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,7,1042,58.06444205,63.72300072,47.76455855
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,8,1044,58.14397728,63.72300072,47.6964464
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,9,1044,57.85202314,63.72300072,47.93753832
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,10,1044,56.97858176,63.72300072,48.67230837
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,11,1041,56.21847132,63.72300072,49.33023059
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,12,1044,55.79323733,63.72300072,49.70625482
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,13,1044,54.27568541,63.72300072,51.09704025
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,14,1044,52.16956399,63.72300072,53.15940604
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,15,1044,41.85268345,63.72300072,66.26291201
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,16,1044,33.98771699,63.72300072,81.59826614
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,17,1031,35.7381309,63.72300072,77.6014062
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,18,1043,47.35810188,63.72300072,58.56120811
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,19,1042,55.51986695,63.72300072,49.95101718
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,20,1041,36.26467049,63.72300072,76.4737272
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,21,1029,32.2218543,63.72300072,86.0686297
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,22,1031,49.85993184,63.72300072,55.62201751
105-05708,2019,CA-99,SOUTHBOUND,0.770361,2,23,1020,55.05654051,63.72300072,50.37175491
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,0,1013,58.49780908,63.222,46.27353406
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,1,1017,59.0215416,63.222,45.86294985
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,2,1028,58.69146737,63.222,46.12070039
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,3,1032,59.4578087,63.222,45.52640504
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,4,1039,60.54792667,63.222,44.70693936
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,5,1044,61.15496644,63.222,44.26310345
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,6,1044,60.3890209,63.222,44.82475096
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,7,1044,60.76036648,63.222,44.55065134
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,8,1043,57.99076146,63.222,46.67786194
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,9,1044,60.4201616,63.222,44.80136015
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,10,1042,60.08713894,63.222,45.04943378
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,11,1043,60.05621555,63.222,45.07261745
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,12,1044,59.82675893,63.222,45.24557471
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,13,1043,56.67226933,63.222,47.76450623
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,14,1044,55.23199112,63.222,49.01001916
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,15,1044,48.53584808,63.222,55.77175287
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,16,1044,43.50271933,63.222,62.22364943
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,17,1038,43.58419319,63.222,62.10633911
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,18,1043,50.60030355,63.222,53.49691275
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,19,1039,59.56126471,63.222,45.44741097
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,20,1044,58.37081949,63.222,46.3752682
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,21,1031,54.34677498,63.222,49.80779825
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,22,1031,54.74457855,63.222,49.44554801
105-05708,2018,CA-99,SOUTHBOUND,0.751915,2,23,1014,56.8404244,63.222,47.62240631
