measure_full,value,proj_desc,proj_inum,data_year,direction,measure
EASTBOUND_calc_len,7256.507983,Richards Blvd- I-5 to 16th St,1,2016,EASTBOUND,_calc_len
EASTBOUNDff_speed_art60thp,29.87248335,Richards Blvd- I-5 to 16th St,1,2016,EASTBOUND,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,15.09840703,Richards Blvd- I-5 to 16th St,1,2016,EASTBOUND,havg_spd_worst4hrs
EASTBOUNDlottr_ampk,1.294696216,Richards Blvd- I-5 to 16th St,1,2016,EASTBOUND,lottr_ampk
EASTBOUNDlottr_md,1.294705454,Richards Blvd- I-5 to 16th St,1,2016,EASTBOUND,lottr_md
EASTBOUNDlottr_pmpk,1.39655445,Richards Blvd- I-5 to 16th St,1,2016,EASTBOUND,lottr_pmpk
EASTBOUNDlottr_wknd,1.349272498,Richards Blvd- I-5 to 16th St,1,2016,EASTBOUND,lottr_wknd
WESTBOUND_calc_len,7256.507983,Richards Blvd- I-5 to 16th St,1,2016,WESTBOUND,_calc_len
WESTBOUNDff_speed_art60thp,30.32021253,Richards Blvd- I-5 to 16th St,1,2016,WESTBOUND,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,15.23584237,Richards Blvd- I-5 to 16th St,1,2016,WESTBOUND,havg_spd_worst4hrs
WESTBOUNDlottr_ampk,1.265827165,Richards Blvd- I-5 to 16th St,1,2016,WESTBOUND,lottr_ampk
WESTBOUNDlottr_md,1.304271887,Richards Blvd- I-5 to 16th St,1,2016,WESTBOUND,lottr_md
WESTBOUNDlottr_pmpk,1.504193919,Richards Blvd- I-5 to 16th St,1,2016,WESTBOUND,lottr_pmpk
WESTBOUNDlottr_wknd,1.35002372,Richards Blvd- I-5 to 16th St,1,2016,WESTBOUND,lottr_wknd
NORTHBOUND_calc_len,11914.83655,16th St- Richards Blvd to US 50,2,2016,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,24.10070541,16th St- Richards Blvd to US 50,2,2016,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,12.10350943,16th St- Richards Blvd to US 50,2,2016,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.319997412,16th St- Richards Blvd to US 50,2,2016,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.297454258,16th St- Richards Blvd to US 50,2,2016,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.719591049,16th St- Richards Blvd to US 50,2,2016,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.33215783,16th St- Richards Blvd to US 50,2,2016,NORTHBOUND,lottr_wknd
EASTBOUND_calc_len,360.0522722,16th St- Richards Blvd to US 50,2,2016,EASTBOUND,_calc_len
EASTBOUNDff_speed_art60thp,21,16th St- Richards Blvd to US 50,2,2016,EASTBOUND,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,12.99847032,16th St- Richards Blvd to US 50,2,2016,EASTBOUND,havg_spd_worst4hrs
EASTBOUNDlottr_ampk,1.3834764,16th St- Richards Blvd to US 50,2,2016,EASTBOUND,lottr_ampk
EASTBOUNDlottr_md,1.33912737,16th St- Richards Blvd to US 50,2,2016,EASTBOUND,lottr_md
EASTBOUNDlottr_pmpk,1.344904467,16th St- Richards Blvd to US 50,2,2016,EASTBOUND,lottr_pmpk
EASTBOUNDlottr_wknd,1.41839544,16th St- Richards Blvd to US 50,2,2016,EASTBOUND,lottr_wknd
NORTHBOUND_calc_len,8171.629762,Arden Way- I-5 to Northgate Blvd,3,2016,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,41.66366832,Arden Way- I-5 to Northgate Blvd,3,2016,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,17.87484463,Arden Way- I-5 to Northgate Blvd,3,2016,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.32472983,Arden Way- I-5 to Northgate Blvd,3,2016,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.286220636,Arden Way- I-5 to Northgate Blvd,3,2016,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.819013404,Arden Way- I-5 to Northgate Blvd,3,2016,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.324838315,Arden Way- I-5 to Northgate Blvd,3,2016,NORTHBOUND,lottr_wknd
SOUTHBOUND_calc_len,7787.798776,Arden Way- I-5 to Northgate Blvd,3,2016,SOUTHBOUND,_calc_len
SOUTHBOUNDff_speed_art60thp,43.07990493,Arden Way- I-5 to Northgate Blvd,3,2016,SOUTHBOUND,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,26.39987267,Arden Way- I-5 to Northgate Blvd,3,2016,SOUTHBOUND,havg_spd_worst4hrs
SOUTHBOUNDlottr_ampk,1.270731161,Arden Way- I-5 to Northgate Blvd,3,2016,SOUTHBOUND,lottr_ampk
SOUTHBOUNDlottr_md,1.228660789,Arden Way- I-5 to Northgate Blvd,3,2016,SOUTHBOUND,lottr_md
SOUTHBOUNDlottr_pmpk,1.389503051,Arden Way- I-5 to Northgate Blvd,3,2016,SOUTHBOUND,lottr_pmpk
SOUTHBOUNDlottr_wknd,1.258228099,Arden Way- I-5 to Northgate Blvd,3,2016,SOUTHBOUND,lottr_wknd
SOUTHBOUND_calc_len,11139.91521,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2016,SOUTHBOUND,_calc_len
SOUTHBOUNDff_speed_art60thp,27.89084394,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2016,SOUTHBOUND,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,15.49676551,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2016,SOUTHBOUND,havg_spd_worst4hrs
SOUTHBOUNDlottr_ampk,1.453277034,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2016,SOUTHBOUND,lottr_ampk
SOUTHBOUNDlottr_md,1.38087982,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2016,SOUTHBOUND,lottr_md
SOUTHBOUNDlottr_pmpk,1.475355169,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2016,SOUTHBOUND,lottr_pmpk
SOUTHBOUNDlottr_wknd,1.384039705,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2016,SOUTHBOUND,lottr_wknd
NORTHBOUND_calc_len,11139.91521,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2016,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,27.47633647,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2016,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,13.12843428,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2016,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.387338319,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2016,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.343330567,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2016,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.502445685,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2016,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.373634965,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2016,NORTHBOUND,lottr_wknd
EASTBOUND_calc_len,16388.44985,Florin Rd- I-5 to Franklin Blvd,5,2016,EASTBOUND,_calc_len
EASTBOUNDff_speed_art60thp,31.59914105,Florin Rd- I-5 to Franklin Blvd,5,2016,EASTBOUND,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,16.69477722,Florin Rd- I-5 to Franklin Blvd,5,2016,EASTBOUND,havg_spd_worst4hrs
EASTBOUNDlottr_ampk,1.379753004,Florin Rd- I-5 to Franklin Blvd,5,2016,EASTBOUND,lottr_ampk
EASTBOUNDlottr_md,1.374739332,Florin Rd- I-5 to Franklin Blvd,5,2016,EASTBOUND,lottr_md
EASTBOUNDlottr_pmpk,1.402704442,Florin Rd- I-5 to Franklin Blvd,5,2016,EASTBOUND,lottr_pmpk
EASTBOUNDlottr_wknd,1.392748307,Florin Rd- I-5 to Franklin Blvd,5,2016,EASTBOUND,lottr_wknd
WESTBOUND_calc_len,16388.44985,Florin Rd- I-5 to Franklin Blvd,5,2016,WESTBOUND,_calc_len
WESTBOUNDff_speed_art60thp,32.22264265,Florin Rd- I-5 to Franklin Blvd,5,2016,WESTBOUND,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,18.31241333,Florin Rd- I-5 to Franklin Blvd,5,2016,WESTBOUND,havg_spd_worst4hrs
WESTBOUNDlottr_ampk,1.348591472,Florin Rd- I-5 to Franklin Blvd,5,2016,WESTBOUND,lottr_ampk
WESTBOUNDlottr_md,1.335105197,Florin Rd- I-5 to Franklin Blvd,5,2016,WESTBOUND,lottr_md
WESTBOUNDlottr_pmpk,1.35785634,Florin Rd- I-5 to Franklin Blvd,5,2016,WESTBOUND,lottr_pmpk
WESTBOUNDlottr_wknd,1.368723223,Florin Rd- I-5 to Franklin Blvd,5,2016,WESTBOUND,lottr_wknd
SOUTHBOUND_calc_len,5432.235065,65th St- Folsom Blvd to 14th Ave,6,2016,SOUTHBOUND,_calc_len
SOUTHBOUNDff_speed_art60thp,30.42994196,65th St- Folsom Blvd to 14th Ave,6,2016,SOUTHBOUND,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,15.10629333,65th St- Folsom Blvd to 14th Ave,6,2016,SOUTHBOUND,havg_spd_worst4hrs
SOUTHBOUNDlottr_ampk,1.523958517,65th St- Folsom Blvd to 14th Ave,6,2016,SOUTHBOUND,lottr_ampk
SOUTHBOUNDlottr_md,1.471586604,65th St- Folsom Blvd to 14th Ave,6,2016,SOUTHBOUND,lottr_md
SOUTHBOUNDlottr_pmpk,1.468240482,65th St- Folsom Blvd to 14th Ave,6,2016,SOUTHBOUND,lottr_pmpk
SOUTHBOUNDlottr_wknd,1.471965179,65th St- Folsom Blvd to 14th Ave,6,2016,SOUTHBOUND,lottr_wknd
NORTHBOUND_calc_len,5432.235065,65th St- Folsom Blvd to 14th Ave,6,2016,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,29.74893148,65th St- Folsom Blvd to 14th Ave,6,2016,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,13.21165535,65th St- Folsom Blvd to 14th Ave,6,2016,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.502088617,65th St- Folsom Blvd to 14th Ave,6,2016,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.648714245,65th St- Folsom Blvd to 14th Ave,6,2016,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.650970778,65th St- Folsom Blvd to 14th Ave,6,2016,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.628093064,65th St- Folsom Blvd to 14th Ave,6,2016,NORTHBOUND,lottr_wknd
SOUTHBOUND_calc_len,13462.35029,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2016,SOUTHBOUND,_calc_len
SOUTHBOUNDff_speed_art60thp,35.15397477,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2016,SOUTHBOUND,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,17.61664144,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2016,SOUTHBOUND,havg_spd_worst4hrs
SOUTHBOUNDlottr_ampk,1.297164667,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2016,SOUTHBOUND,lottr_ampk
SOUTHBOUNDlottr_md,1.262185234,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2016,SOUTHBOUND,lottr_md
SOUTHBOUNDlottr_pmpk,1.342935093,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2016,SOUTHBOUND,lottr_pmpk
SOUTHBOUNDlottr_wknd,1.35439497,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2016,SOUTHBOUND,lottr_wknd
NORTHBOUND_calc_len,13462.35028,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2016,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,32.18168586,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2016,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,13.82073484,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2016,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.283319813,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2016,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.290614815,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2016,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.71052611,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2016,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.323799191,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2016,NORTHBOUND,lottr_wknd
SOUTHBOUND_calc_len,37024.25702,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,SOUTHBOUND,_calc_len
SOUTHBOUNDff_speed_art60thp,42.81303962,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,SOUTHBOUND,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,21.43186898,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,SOUTHBOUND,havg_spd_worst4hrs
SOUTHBOUNDlottr_ampk,1.232483176,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,SOUTHBOUND,lottr_ampk
SOUTHBOUNDlottr_md,1.273467181,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,SOUTHBOUND,lottr_md
SOUTHBOUNDlottr_pmpk,1.471893232,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,SOUTHBOUND,lottr_pmpk
SOUTHBOUNDlottr_wknd,1.250365278,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,SOUTHBOUND,lottr_wknd
NORTHBOUND_calc_len,33081.03589,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,42.41094149,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,21.78805588,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.490558299,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.257799739,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.347545787,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.255804555,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2016,NORTHBOUND,lottr_wknd
NORTHBOUND_calc_len,50545.78496,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2016,NORTHBOUND,_calc_len
