measure_full,value,proj_desc,proj_inum,data_year,direction,measure,xticnames
EASTBOUND_calc_len,7256.507983355299,Richards Blvd- I-5 to 16th St,1,2016,EASTBOUND,_calc_len,_calc_len
EASTBOUNDff_speed_art60thp,29.872483352246903,Richards Blvd- I-5 to 16th St,1,2016,EASTBOUND,ff_speed_art60thp,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,15.098407033901108,Richards Blvd- I-5 to 16th St,1,2016,EASTBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
EASTBOUNDlottr_ampk,1.2946962155182202,Richards Blvd- I-5 to 16th St,1,2016,EASTBOUND,lottr_ampk,M-F 6a-10a
EASTBOUNDlottr_md,1.2947054535094555,Richards Blvd- I-5 to 16th St,1,2016,EASTBOUND,lottr_md,M-F 10a-4p
EASTBOUNDlottr_pmpk,1.3965544495393858,Richards Blvd- I-5 to 16th St,1,2016,EASTBOUND,lottr_pmpk,M-F 4p-8p
EASTBOUNDlottr_wknd,1.349272497526981,Richards Blvd- I-5 to 16th St,1,2016,EASTBOUND,lottr_wknd,Sat-Sun 6a-8p
WESTBOUND_calc_len,7256.507983325678,Richards Blvd- I-5 to 16th St,1,2016,WESTBOUND,_calc_len,_calc_len
WESTBOUNDff_speed_art60thp,30.32021253372123,Richards Blvd- I-5 to 16th St,1,2016,WESTBOUND,ff_speed_art60thp,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,15.23584236953111,Richards Blvd- I-5 to 16th St,1,2016,WESTBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
WESTBOUNDlottr_ampk,1.2658271649970358,Richards Blvd- I-5 to 16th St,1,2016,WESTBOUND,lottr_ampk,M-F 6a-10a
WESTBOUNDlottr_md,1.304271886577434,Richards Blvd- I-5 to 16th St,1,2016,WESTBOUND,lottr_md,M-F 10a-4p
WESTBOUNDlottr_pmpk,1.504193919070511,Richards Blvd- I-5 to 16th St,1,2016,WESTBOUND,lottr_pmpk,M-F 4p-8p
WESTBOUNDlottr_wknd,1.3500237203034011,Richards Blvd- I-5 to 16th St,1,2016,WESTBOUND,lottr_wknd,Sat-Sun 6a-8p
NORTHBOUND_calc_len,11914.836550740582,16th St- Richards Blvd to US 50,2,2016,NORTHBOUND,_calc_len,_calc_len
