,A,B,SACTRAK,PHASE2,unique_lanevals
0,1,12825,,,[1]
1,2,12327,,,[1]
2,3,13386,,,[1]
3,4,12886,,,[1]
4,5,2666,,,[1]
5,6,14205,,,[2]
6,7,14204,,,[1]
7,8,4246,,,[1]
8,9,10773,,,[1]
9,10,11176,,,[2]
10,11,10576,,,[1]
11,12,10495,,,[1]
12,13,3630,,,[1]
13,13,3986,,,[1]
14,13,10495,,,[1]
15,13,10576,,,[1]
16,13,10764,,,[1]
17,14,3901,,,[1]
18,14,3986,,,[1]
19,15,5590,,,[2]
20,16,4008,,,[1]
21,17,4002,,,[1]
22,18,9274,,,[2]
23,19,4331,,,[1]
24,20,6401,,,[1]
25,21,4627,,,[1]
26,22,9495,,,[2]
27,22,9497,,,[3]
28,23,6407,,,[1]
29,24,14203,,,[1]
30,25,4332,,,[1]
31,26,4333,,,[1]
32,27,6430,,,[1]
33,28,6442,,,[2]
34,29,6499,,,[1]
35,30,13313,,,[1]
36,31,8401,,,[1]
37,32,12323,,,[1]
38,33,2717,,,[1]
39,33,2877,,,[1]
40,34,4682,,,[1]
41,35,2875,,,[1]
42,35,2887,,,[1]
43,36,4551,,,[1]
44,36,14321,,,[1]
45,37,10010,,,[1]
46,38,2884,,,[1]
47,38,4641,,,[1]
48,39,2207,,,[1]
49,39,2882,,,[1]
50,39,2884,,,[1]
51,40,14518,,,[1]
52,40,14519,,,[1]
53,40,15416,,,[0 1]
54,41,2495,,,[1]
55,41,14521,,,[1]
56,42,2394,,,[1]
57,42,4245,,,[1]
58,43,2464,,,[1]
59,43,15781,,,[1]
60,43,15783,,,[1]
61,44,15801,,,[1]
62,45,2154,,,[1]
63,46,2460,,,[1]
64,47,2584,,,[1]
65,47,2639,,,[1]
66,47,2735,,,[1]
67,47,2748,,,[1]
68,48,2648,,,[1]
69,48,6645,,,[1]
70,49,5173,,,[0 1]
71,49,10393,,,[1]
72,50,2639,,,[1]
73,50,14323,,,[1]
74,50,14524,,,[1]
75,50,15420,YOL19437,,[0 1]
76,50,15421,YOL19437,,[0 3 1]
77,51,2025,,,[1]
78,51,2646,,,[1]
79,51,16373,,,[0 1]
80,52,2714,,,[1]
81,52,2734,,,[1]
82,52,6645,,,[1]
83,53,2584,,,[1]
84,53,2641,,,[1]
85,53,9043,,,[1]
86,53,11291,,,[1]
87,54,2649,,,[1]
88,54,2752,,,[1]
89,55,2400,,,[1]
90,55,2752,,,[1]
91,56,15791,,,[1]
92,57,2500,,,[1]
93,58,2025,,,[1]
94,58,2563,,,[1]
95,59,2606,,,[1]
96,59,4626,,,[1]
97,60,4626,,,[1]
98,60,16251,,,[1]
99,61,2623,,,[1]
100,61,6637,,,[1]
101,61,13034,,,[1]
102,61,14760,,,[1]
103,62,2620,,,[1]
104,62,8315,,,[1]
105,63,2618,,,[1]
106,64,2601,,,[1]
107,65,13716,,,[1]
108,65,15802,,,[1]
109,66,2319,,,[1]
110,66,2625,,,[1]
111,67,13675,,,[1]
112,67,13676,,,[1]
113,68,4988,,,[0 1]
114,68,13674,,,[1]
115,68,15448,,,[0 1]
116,69,2642,,,[1]
117,70,2643,,,[1]
118,71,2644,,,[1]
119,71,15451,,,[0 1]
120,72,2600,,,[1]
121,72,2615,,,[1]
122,72,2617,,,[1]
123,73,2616,,,[1]
124,74,2371,,,[1]
125,74,15452,,,[0 1]
126,75,2586,,,[1]
127,75,2598,,,[1]
128,76,2613,,,[1]
129,77,2597,,,[1]
130,77,2624,,,[1]
131,78,2370,,,[1]
132,78,2594,,,[1]
133,79,2370,,,[1]
134,80,2586,,,[1]
135,80,15452,,,[0 1]
136,81,2501,,,[1]
137,81,4220,,,[1]
138,81,8373,,,[1]
139,81,8379,,,[1]
140,81,8690,,,[1]
141,82,2470,,,[1]
142,82,2548,,,[1]
143,82,15177,,,[1]
144,83,7070,,,[1]
145,83,8381,,,[1]
146,83,8720,,,[1]
147,84,2549,,,[1]
148,85,2546,,,[1]
149,86,4617,,,[1]
150,86,8385,,,[1]
151,86,8723,,,[1]
152,87,2521,,,[1]
153,88,2503,,,[1]
154,88,8381,,,[1]
155,88,8412,,,[1]
156,89,2387,,,[1]
157,90,2509,,,[1]
158,91,2512,,,[1]
159,92,2512,,,[1]
160,93,2522,,,[1]
161,93,2533,,,[1]
162,93,8730,,,[1]
163,94,2530,,,[1]
164,95,2350,,,[1]
165,95,10088,,,[1]
166,96,4627,,,[1]
167,97,2396,,,[1]
168,98,2573,,,[1]
169,99,2497,,,[1]
170,99,2542,,,[1]
